======================================================================
RTX4090 系列模型训练测试结果汇总
======================================================================
生成时间: 2026-04-06 02:08:10
======================================================================

【训练先后顺序】

1. BallShow_rtx4090_optimized
   2026-03-31 13:32:55 ~ 2026-04-01 04:41:20

2. BallShow_rtx4090_ultimate
   2026-04-01 04:46:32 ~ 2026-04-01 17:18:39

3. BallShow_rtx4090_final
   2026-04-02 04:50:05 ~ 2026-04-02 12:52:56

4. Ballshow_rtx4090_sprint
   2026-04-02 14:39:25 ~ 2026-04-03 00:14:54

5. BallShow_rtx4090_from_final212model
   2026-04-04 15:35:14 ~ 2026-04-05 10:40:02

6. BallShow_rtx4090_from_final212model_283_model
   2026-04-05 10:47:02 ~ 2026-04-05 12:45:11


======================================================================
模型配置: BallShow_rtx4090_final
======================================================================
Epoch    时间                   mAP(%)     Rank-1(%)    Rank-5(%)    Rank-10(%)  
------------------------------------------------------------------------------------------
1        2026-04-02 04:50:05  64.0       75.0         87.5         90.7        
2        2026-04-02 04:51:57  72.4       81.0         91.7         93.9        
3        2026-04-02 04:53:52  76.4       83.9         92.8         95.8        
4        2026-04-02 04:55:47  78.4       83.9         94.0         96.5        
5        2026-04-02 04:57:43  79.7       84.9         94.6         96.8        
6        2026-04-02 04:59:40  81.5       86.9         95.2         97.0        
7        2026-04-02 05:01:35  82.5       87.6         95.6         97.5        
8        2026-04-02 05:03:33  83.7       88.9         95.8         97.3        
9        2026-04-02 05:05:30  84.3       88.6         95.8         97.5        
10       2026-04-02 05:07:27  84.8       88.7         95.9         97.6        
11       2026-04-02 05:09:23  85.9       89.6         96.4         97.7        
12       2026-04-02 05:11:16  86.5       90.8         96.7         97.7        
13       2026-04-02 05:13:11  87.0       90.8         97.0         98.2        
14       2026-04-02 05:15:06  86.7       90.0         96.9         98.0        
15       2026-04-02 05:16:57  87.2       90.0         96.5         98.5        
16       2026-04-02 05:18:52  87.7       90.8         97.5         98.8        
17       2026-04-02 05:20:49  87.9       91.2         97.1         98.5        
18       2026-04-02 05:22:49  88.4       91.5         97.7         98.9        
19       2026-04-02 05:24:49  88.2       91.1         97.0         98.2        
20       2026-04-02 05:26:45  88.5       91.5         97.6         98.2        
21       2026-04-02 05:28:41  88.8       92.1         97.6         98.6        
22       2026-04-02 05:30:35  88.7       91.7         97.3         98.9        
23       2026-04-02 05:32:32  88.5       91.5         97.6         98.5        
24       2026-04-02 05:34:30  88.5       91.4         97.4         99.0        
25       2026-04-02 05:36:25  88.9       91.5         97.9         98.7        
------------------------------------------------------------------------------------------
Epoch    时间                   mAP(%)     Rank-1(%)    Rank-5(%)    Rank-10(%)  
26       2026-04-02 05:38:22  89.1       91.9         98.0         99.0        
27       2026-04-02 05:40:18  89.2       92.4         98.0         98.8        
28       2026-04-02 05:42:13  89.1       92.3         97.6         98.7        
29       2026-04-02 05:44:10  89.6       93.1         98.2         99.3        
30       2026-04-02 05:46:05  89.6       92.3         98.1         99.2        
31       2026-04-02 05:47:59  89.0       91.8         98.0         98.7        
32       2026-04-02 05:49:52  89.0       92.0         97.7         98.9        
33       2026-04-02 05:51:46  89.7       92.4         97.6         98.8        
34       2026-04-02 05:53:40  89.7       93.1         97.5         98.5        
35       2026-04-02 05:55:34  89.8       92.5         98.3         98.9        
36       2026-04-02 05:57:31  89.5       92.4         97.4         98.8        
37       2026-04-02 05:59:25  90.0       92.7         98.3         98.9        
38       2026-04-02 06:01:20  89.5       92.4         98.2         99.0        
39       2026-04-02 06:03:17  89.7       92.3         98.2         99.0        
40       2026-04-02 06:05:13  89.6       92.4         97.9         99.0        
41       2026-04-02 06:07:09  89.9       92.8         97.9         98.7        
42       2026-04-02 06:09:06  89.8       92.1         98.3         99.2        
43       2026-04-02 06:11:01  89.7       92.7         97.9         98.6        
44       2026-04-02 06:12:57  90.3       93.0         98.3         99.2        
45       2026-04-02 06:14:55  89.9       93.1         97.9         98.8        
46       2026-04-02 06:16:53  90.3       92.8         98.3         99.0        
47       2026-04-02 06:18:49  90.2       92.8         98.3         98.9        
48       2026-04-02 06:20:44  90.1       92.8         98.0         99.0        
49       2026-04-02 06:22:40  89.9       93.0         97.5         98.6        
50       2026-04-02 06:24:35  90.2       92.4         98.5         98.9        
------------------------------------------------------------------------------------------
Epoch    时间                   mAP(%)     Rank-1(%)    Rank-5(%)    Rank-10(%)  
51       2026-04-02 06:26:30  89.9       92.5         98.2         98.8        
52       2026-04-02 06:28:26  89.9       92.6         97.9         98.5        
53       2026-04-02 06:30:19  90.2       93.0         97.6         98.9        
54       2026-04-02 06:32:15  90.1       93.0         97.5         98.7        
55       2026-04-02 06:34:09  90.1       92.4         98.1         98.7        
56       2026-04-02 06:36:03  89.7       92.0         97.7         99.2        
57       2026-04-02 06:37:59  90.4       93.0         98.2         98.9        
58       2026-04-02 06:39:55  90.3       93.2         97.9         98.8        
59       2026-04-02 06:41:49  90.0       93.1         97.7         98.6        
60       2026-04-02 06:43:42  90.4       93.1         98.1         99.0        
61       2026-04-02 06:45:37  90.2       92.8         98.1         98.8        
62       2026-04-02 06:47:31  90.7       93.7         98.2         99.2        
63       2026-04-02 06:49:27  90.6       93.6         97.5         98.8        
64       2026-04-02 06:51:21  90.4       93.2         97.6         98.6        
65       2026-04-02 06:53:16  90.1       92.6         98.1         98.7        
66       2026-04-02 06:55:12  90.2       92.6         97.9         99.2        
67       2026-04-02 06:57:06  90.4       92.7         97.9         99.3        
68       2026-04-02 06:59:01  90.3       93.2         98.1         99.0        
69       2026-04-02 07:00:57  90.6       93.1         97.9         98.9        
70       2026-04-02 07:02:52  90.2       93.4         97.9         99.3        
71       2026-04-02 07:04:46  90.3       93.3         97.6         98.7        
72       2026-04-02 07:06:41  90.9       93.9         98.0         98.9        
73       2026-04-02 07:08:37  90.5       93.1         98.0         98.9        
74       2026-04-02 07:10:36  90.4       93.3         98.3         99.3        
75       2026-04-02 07:12:36  90.6       93.4         97.7         99.0        
------------------------------------------------------------------------------------------
Epoch    时间                   mAP(%)     Rank-1(%)    Rank-5(%)    Rank-10(%)  
76       2026-04-02 07:14:32  90.4       93.2         97.7         98.9        
77       2026-04-02 07:16:25  90.0       92.8         97.3         98.9        
78       2026-04-02 07:18:20  90.4       93.6         97.7         98.9        
79       2026-04-02 07:20:17  90.2       93.1         97.7         99.2        
80       2026-04-02 07:22:14  90.1       93.0         98.1         98.9        
81       2026-04-02 07:24:09  90.3       93.0         97.7         99.0        
82       2026-04-02 07:26:05  90.3       93.1         97.5         98.5        
83       2026-04-02 07:28:01  90.1       93.1         97.3         98.5        
84       2026-04-02 07:29:55  90.3       93.2         97.7         98.9        
85       2026-04-02 07:31:50  90.4       93.4         97.6         98.6        
86       2026-04-02 07:33:45  90.0       93.1         97.0         98.8        
87       2026-04-02 07:35:41  90.0       93.0         97.3         98.7        
88       2026-04-02 07:37:36  90.1       93.0         97.6         98.7        
89       2026-04-02 07:39:33  89.6       92.3         97.4         98.6        
90       2026-04-02 07:41:27  90.2       93.1         97.9         98.7        
91       2026-04-02 07:43:23  90.1       92.8         97.5         99.0        
92       2026-04-02 07:45:18  90.4       93.1         97.7         98.7        
93       2026-04-02 07:47:14  90.5       93.2         98.0         99.2        
94       2026-04-02 07:49:10  89.8       92.6         97.4         99.2        
95       2026-04-02 07:51:06  89.1       92.1         97.4         98.9        
96       2026-04-02 07:53:01  90.1       93.0         97.5         98.2        
97       2026-04-02 07:54:56  90.7       93.4         97.4         98.8        
98       2026-04-02 07:56:50  90.3       93.1         97.5         98.9        
99       2026-04-02 07:58:46  90.5       93.6         97.5         98.6        
100      2026-04-02 08:00:40  89.9       92.5         97.6         98.2        
------------------------------------------------------------------------------------------
Epoch    时间                   mAP(%)     Rank-1(%)    Rank-5(%)    Rank-10(%)  
101      2026-04-02 08:02:36  90.3       92.8         97.5         99.0        
102      2026-04-02 08:04:30  90.1       93.1         97.5         98.2        
103      2026-04-02 08:06:26  90.1       92.6         97.9         98.8        
104      2026-04-02 08:08:21  90.1       93.2         97.3         98.5        
105      2026-04-02 08:10:17  89.8       92.7         96.9         98.3        
106      2026-04-02 08:12:12  90.3       93.0         97.5         99.0        
107      2026-04-02 08:14:08  90.4       92.8         98.0         98.9        
108      2026-04-02 08:16:04  90.5       92.8         97.6         99.0        
109      2026-04-02 08:18:00  90.4       93.0         97.5         98.9        
110      2026-04-02 08:19:54  90.5       93.1         97.6         98.5        
111      2026-04-02 08:21:48  90.1       93.2         97.5         98.6        
112      2026-04-02 08:23:43  90.8       93.7         97.1         98.7        
113      2026-04-02 08:25:36  90.3       93.2         97.4         98.5        
114      2026-04-02 08:27:31  90.4       93.0         98.1         98.9        
115      2026-04-02 08:29:26  90.8       93.7         97.6         99.0        
116      2026-04-02 08:31:21  90.4       93.1         97.3         98.5        
117      2026-04-02 08:33:18  90.7       93.4         97.3         98.9        
118      2026-04-02 08:35:14  90.3       93.2         97.3         98.9        
119      2026-04-02 08:37:11  90.4       93.1         97.6         98.8        
120      2026-04-02 08:39:04  90.3       93.3         97.4         98.8        
121      2026-04-02 08:41:00  90.6       93.4         97.5         98.7        
122      2026-04-02 08:42:55  90.6       93.6         97.7         98.8        
123      2026-04-02 08:44:51  90.5       93.1         97.6         98.7        
124      2026-04-02 08:46:44  90.5       93.6         97.4         99.3        
125      2026-04-02 08:48:40  90.7       93.6         97.6         98.7        
------------------------------------------------------------------------------------------
Epoch    时间                   mAP(%)     Rank-1(%)    Rank-5(%)    Rank-10(%)  
126      2026-04-02 08:50:34  90.4       93.0         97.5         98.7        
127      2026-04-02 08:52:29  90.5       93.2         97.5         98.5        
128      2026-04-02 08:54:25  90.4       93.3         97.3         98.7        
129      2026-04-02 08:56:20  90.8       93.8         97.4         98.6        
130      2026-04-02 08:58:15  90.4       93.2         97.4         98.8        
131      2026-04-02 09:00:12  90.7       93.6         97.6         98.2        
132      2026-04-02 09:02:06  90.6       93.6         97.6         98.8        
133      2026-04-02 09:04:02  90.6       93.6         97.4         98.6        
134      2026-04-02 09:05:58  90.7       93.3         97.4         98.8        
135      2026-04-02 09:07:53  90.5       93.7         96.9         98.7        
136      2026-04-02 09:09:50  90.4       93.1         97.6         98.6        
137      2026-04-02 09:11:43  90.5       93.6         97.3         98.8        
138      2026-04-02 09:13:37  90.0       92.6         97.9         98.7        
